code,correct,text,icon,category
Q1,N,The earliest humans lived at the same time as the dinosaurs,t-rex,evo
Q2,Y,The continents on which we live have been moving for millions of years and will continue to move in the future,world,geo
Q3,N,Antibiotics kill viruses as well as bacteria,virus,med
Q4,Y,The oxygen we breathe comes from plants,tree,bio
Q5,N,Lasers work by focusing sound waves,flashlight,gen
Q6,N,The world's human population is currently more than 10 billion,family,geo
Q7,Y,The methods used by the natural sciences and the social sciences are equally scientific,fem-sci,gen
Q8,Y,"Human beings, as we know them today, developed from earlier species of animals",ape,evo
Q9,N,Climate change is for the most part caused by natural cycles rather than human activities,thermometer,geo
Q10,N,The cure for cancer exists but is hidden from the public by commercial interests,pillbox,med
Q11,N,Viruses have been produced in government laboratories to control our freedom,undercover,med