country,cases,deaths,date
Austria,1158158,12064,2021-12-01
Belgium,1765940,27015,2021-11-30
Bulgaria,695057,28453,2021-12-01
Croatia,608205,10899,2021-12-01
Cyprus,134473,597,2021-12-01
Czechia,2172084,33186,2021-12-01
Denmark,487401,2895,2021-12-01
Estonia,223171,1803,2021-12-01
Finland,186538,1335,2021-12-01
France,7675504,119131,2021-12-01
Germany,5903999,101790,2021-12-01
Greece,938903,18157,2021-12-01
Hungary,1114260,34713,2021-12-01
Iceland,17894,35,2021-12-01
Ireland,570115,5652,2021-12-01
Italy,5028547,133828,2021-12-01
Latvia,253659,4179,2021-12-01
Liechtenstein,4696,61,2021-12-01
Lithuania,472239,6759,2021-12-01
Luxembourg,89181,875,2021-12-01
Malta,39437,468,2021-12-01
Netherlands,2643176,19414,2021-12-01
Norway,263786,1054,2021-12-01
Poland,3540061,83583,2021-12-01
Portugal,1147249,18441,2021-12-01
Romania,1779667,56529,2021-12-01
Slovakia,1159767,14341,2021-11-29
Slovenia,423162,5551,2021-12-01
Spain,5164184,88052,2021-11-30
Sweden,1204859,15151,2021-11-29