country,date,cases,deaths,recovered
Poland,2020-03-04,1,0,0
Poland,2020-03-05,1,0,0
Poland,2020-03-06,5,0,0
Poland,2020-03-07,5,0,0
Poland,2020-03-08,11,0,0
Poland,2020-03-09,16,0,0
Poland,2020-03-10,22,0,0
Poland,2020-03-11,31,0,0
Poland,2020-03-12,49,1,0
Poland,2020-03-13,68,2,0
Poland,2020-03-14,103,3,0
Croatia,2020-02-25,1,0,0
Croatia,2020-02-26,3,0,0
Croatia,2020-02-27,3,0,0
Croatia,2020-02-28,5,0,0
Croatia,2020-02-29,6,0,0
Croatia,2020-03-01,7,0,0
Croatia,2020-03-02,7,0,0
Croatia,2020-03-03,9,0,0
Croatia,2020-03-04,10,0,0
Croatia,2020-03-05,10,0,0
Croatia,2020-03-06,11,0,0
Croatia,2020-03-07,12,0,0
Croatia,2020-03-08,12,0,0
Croatia,2020-03-09,12,0,0
Croatia,2020-03-10,14,0,0
Croatia,2020-03-11,19,0,0
Croatia,2020-03-12,19,0,0
Croatia,2020-03-13,32,0,1
Croatia,2020-03-14,38,0,1
Greece,2020-02-26,1,0,0
Greece,2020-02-27,3,0,0
Greece,2020-02-28,4,0,0
Greece,2020-02-29,4,0,0
Greece,2020-03-01,7,0,0
Greece,2020-03-02,7,0,0
Greece,2020-03-03,7,0,0
Greece,2020-03-04,9,0,0
Greece,2020-03-05,31,0,0
Greece,2020-03-06,45,0,0
Greece,2020-03-07,46,0,0
Greece,2020-03-08,73,0,0
Greece,2020-03-09,73,0,0
Greece,2020-03-10,89,0,0
Greece,2020-03-11,99,1,0
Greece,2020-03-12,99,1,0
Greece,2020-03-13,190,1,0
Greece,2020-03-14,228,3,8
Japan,2020-01-22,2,0,0
Japan,2020-01-23,1,0,0
Japan,2020-01-24,2,0,0
Japan,2020-01-25,2,0,0
Japan,2020-01-26,4,0,1
Japan,2020-01-27,4,0,1
Japan,2020-01-28,7,0,1
Japan,2020-01-29,7,0,1
Japan,2020-01-30,11,0,1
Japan,2020-01-31,15,0,1
Japan,2020-02-01,20,0,1
Japan,2020-02-02,20,0,1
Japan,2020-02-03,20,0,1
Japan,2020-02-04,22,0,1
Japan,2020-02-05,22,0,1
Japan,2020-02-06,45,0,1
Japan,2020-02-07,25,0,1
Japan,2020-02-08,25,0,1
Japan,2020-02-09,26,0,1
Japan,2020-02-10,26,0,4
Japan,2020-02-11,26,0,9
Japan,2020-02-12,28,0,9
Japan,2020-02-13,28,1,9
Japan,2020-02-14,29,1,9
Japan,2020-02-15,43,1,12
Japan,2020-02-16,59,1,12
Japan,2020-02-17,66,1,12
Japan,2020-02-18,74,1,13
Japan,2020-02-19,84,1,18
Japan,2020-02-20,94,1,18
Japan,2020-02-21,105,1,22
Japan,2020-02-22,122,1,22
Japan,2020-02-23,147,1,22
Japan,2020-02-24,159,1,22
Japan,2020-02-25,170,1,22
Japan,2020-02-26,189,2,22
Japan,2020-02-27,214,4,22
Japan,2020-02-28,228,4,22
Japan,2020-02-29,241,5,32
Japan,2020-03-01,256,6,32
Japan,2020-03-02,274,6,32
Japan,2020-03-03,293,6,43
Japan,2020-03-04,331,6,43
Japan,2020-03-05,360,6,43
Japan,2020-03-06,420,6,46
Japan,2020-03-07,461,6,76
Japan,2020-03-08,502,6,76
Japan,2020-03-09,511,10,76
Japan,2020-03-10,581,10,101
Japan,2020-03-11,639,15,118
Japan,2020-03-12,639,16,118
Japan,2020-03-13,701,19,118
Japan,2020-03-14,773,22,118
Bosnia and Herzegovina,2020-03-05,2,0,0
Bosnia and Herzegovina,2020-03-06,2,0,0
Bosnia and Herzegovina,2020-03-07,3,0,0
Bosnia and Herzegovina,2020-03-08,3,0,0
Bosnia and Herzegovina,2020-03-09,3,0,0
Bosnia and Herzegovina,2020-03-10,5,0,0
Bosnia and Herzegovina,2020-03-11,7,0,0
Bosnia and Herzegovina,2020-03-12,11,0,0
Bosnia and Herzegovina,2020-03-13,13,0,0
Bosnia and Herzegovina,2020-03-14,18,0,0
Spain,2020-02-01,1,0,0
Spain,2020-02-02,1,0,0
Spain,2020-02-03,1,0,0
Spain,2020-02-04,1,0,0
Spain,2020-02-05,1,0,0
Spain,2020-02-06,1,0,0
Spain,2020-02-07,1,0,0
Spain,2020-02-08,1,0,0
Spain,2020-02-09,2,0,0
Spain,2020-02-10,2,0,0
Spain,2020-02-11,2,0,0
Spain,2020-02-12,2,0,0
Spain,2020-02-13,2,0,0
Spain,2020-02-14,2,0,0
Spain,2020-02-15,2,0,2
Spain,2020-02-16,2,0,2
Spain,2020-02-17,2,0,2
Spain,2020-02-18,2,0,2
Spain,2020-02-19,2,0,2
Spain,2020-02-20,2,0,2
Spain,2020-02-21,2,0,2
Spain,2020-02-22,2,0,2
Spain,2020-02-23,2,0,2
Spain,2020-02-24,2,0,2
Spain,2020-02-25,6,0,2
Spain,2020-02-26,13,0,2
Spain,2020-02-27,15,0,2
Spain,2020-02-28,32,0,2
Spain,2020-02-29,45,0,2
Spain,2020-03-01,84,0,2
Spain,2020-03-02,120,0,2
Spain,2020-03-03,165,1,2
Spain,2020-03-04,222,2,2
Spain,2020-03-05,259,3,2
Spain,2020-03-06,400,5,2
Spain,2020-03-07,500,10,30
Spain,2020-03-08,673,17,30
Spain,2020-03-09,1073,28,32
Spain,2020-03-10,1695,35,32
Spain,2020-03-11,2277,54,183
Spain,2020-03-12,2277,55,183
Spain,2020-03-13,5232,133,193
Spain,2020-03-14,6391,195,517
US,2020-03-10,267,23,1
US,2020-03-11,366,29,1
US,2020-03-12,442,31,1
US,2020-03-13,568,37,1
US,2020-03-14,572,37,1
Russia,2020-01-31,2,0,0
Russia,2020-02-01,2,0,0
Russia,2020-02-02,2,0,0
Russia,2020-02-03,2,0,0
Russia,2020-02-04,2,0,0
Russia,2020-02-05,2,0,0
Russia,2020-02-06,2,0,0
Russia,2020-02-07,2,0,0
Russia,2020-02-08,2,0,0
Russia,2020-02-09,2,0,0
Russia,2020-02-10,2,0,0
Russia,2020-02-11,2,0,0
Russia,2020-02-12,2,0,2
Russia,2020-02-13,2,0,2
Russia,2020-02-14,2,0,2
Russia,2020-02-15,2,0,2
Russia,2020-02-16,2,0,2
Russia,2020-02-17,2,0,2
Russia,2020-02-18,2,0,2
Russia,2020-02-19,2,0,2
Russia,2020-02-20,2,0,2
Russia,2020-02-21,2,0,2
Russia,2020-02-22,2,0,2
Russia,2020-02-23,2,0,2
Russia,2020-02-24,2,0,2
Russia,2020-02-25,2,0,2
Russia,2020-02-26,2,0,2
Russia,2020-02-27,2,0,2
Russia,2020-02-28,2,0,2
Russia,2020-02-29,2,0,2
Russia,2020-03-01,2,0,2
Russia,2020-03-02,3,0,2
Russia,2020-03-03,3,0,2
Russia,2020-03-04,3,0,2
Russia,2020-03-05,4,0,2
Russia,2020-03-06,13,0,2
Russia,2020-03-07,13,0,2
Russia,2020-03-08,17,0,3
Russia,2020-03-09,17,0,3
Russia,2020-03-10,20,0,3
Russia,2020-03-11,20,0,3
Russia,2020-03-12,28,0,3
Russia,2020-03-13,45,0,3
Russia,2020-03-14,59,0,8
Czechia,2020-03-01,3,0,0
Czechia,2020-03-02,3,0,0
Czechia,2020-03-03,5,0,0
Czechia,2020-03-04,8,0,0
Czechia,2020-03-05,12,0,0
Czechia,2020-03-06,18,0,0
Czechia,2020-03-07,19,0,0
Czechia,2020-03-08,31,0,0
Czechia,2020-03-09,31,0,0
Czechia,2020-03-10,41,0,0
Czechia,2020-03-11,91,0,0
Czechia,2020-03-12,94,0,0
Czechia,2020-03-13,141,0,0
Czechia,2020-03-14,189,0,0
China,2020-01-22,444,17,28
China,2020-01-23,444,17,28
China,2020-01-24,549,24,31
China,2020-01-25,761,40,32
China,2020-01-26,1058,52,42
China,2020-01-27,1423,76,45
China,2020-01-28,3554,125,80
China,2020-01-29,3554,125,88
China,2020-01-30,4903,162,90
China,2020-01-31,5806,204,141
China,2020-02-01,7153,249,168
China,2020-02-02,11177,350,295
China,2020-02-03,13522,414,386
China,2020-02-04,16678,479,522
China,2020-02-05,19665,549,633
China,2020-02-06,22112,618,817
China,2020-02-07,24953,699,1115
China,2020-02-08,27100,780,1439
China,2020-02-09,29631,871,1795
China,2020-02-10,31728,974,2222
China,2020-02-11,33366,1068,2639
China,2020-02-12,33366,1068,2686
China,2020-02-13,48206,1310,3459
China,2020-02-14,54406,1457,4774
China,2020-02-15,56249,1596,5623
China,2020-02-16,58182,1696,6639
China,2020-02-17,59989,1789,7862
China,2020-02-18,61682,1921,9128
China,2020-02-19,62031,2029,10337
China,2020-02-20,62442,2144,11788
China,2020-02-21,62662,2144,11881
China,2020-02-22,64084,2346,15299
China,2020-02-23,64084,2346,15343
China,2020-02-24,64287,2495,16748
China,2020-02-25,64786,2563,18971
China,2020-02-26,65187,2615,20969
China,2020-02-27,65596,2641,23383
China,2020-02-28,65914,2682,26403
China,2020-02-29,66337,2727,28993
China,2020-03-01,66907,2761,31536
China,2020-03-02,67103,2803,33934
China,2020-03-03,67217,2835,36208
China,2020-03-04,67332,2871,38557
China,2020-03-05,67466,2902,40592
China,2020-03-06,67592,2931,42033
China,2020-03-07,67666,2959,43500
China,2020-03-08,67707,2986,45235
China,2020-03-09,67743,3008,46488
China,2020-03-10,67760,3024,47743
China,2020-03-11,67773,3046,49134
China,2020-03-12,67781,3056,50318
China,2020-03-13,67786,3062,51553
China,2020-03-14,67790,3075,52960
Denmark,2020-02-27,1,0,0
Denmark,2020-02-28,1,0,0
Denmark,2020-02-29,3,0,0
Denmark,2020-03-01,4,0,0
Denmark,2020-03-02,4,0,0
Denmark,2020-03-03,6,0,0
Denmark,2020-03-04,10,0,0
Denmark,2020-03-05,10,0,0
Denmark,2020-03-06,23,0,1
Denmark,2020-03-07,23,0,1
Denmark,2020-03-08,35,0,1
Denmark,2020-03-09,90,0,1
Denmark,2020-03-10,262,0,1
Denmark,2020-03-11,442,0,1
Denmark,2020-03-12,615,0,1
Denmark,2020-03-13,801,0,1
Denmark,2020-03-14,827,1,1
Belgium,2020-02-04,1,0,0
Belgium,2020-02-05,1,0,0
Belgium,2020-02-06,1,0,0
Belgium,2020-02-07,1,0,0
Belgium,2020-02-08,1,0,0
Belgium,2020-02-09,1,0,0
Belgium,2020-02-10,1,0,0
Belgium,2020-02-11,1,0,0
Belgium,2020-02-12,1,0,0
Belgium,2020-02-13,1,0,0
Belgium,2020-02-14,1,0,0
Belgium,2020-02-15,1,0,0
Belgium,2020-02-16,1,0,0
Belgium,2020-02-17,1,0,1
Belgium,2020-02-18,1,0,1
Belgium,2020-02-19,1,0,1
Belgium,2020-02-20,1,0,1
Belgium,2020-02-21,1,0,1
Belgium,2020-02-22,1,0,1
Belgium,2020-02-23,1,0,1
Belgium,2020-02-24,1,0,1
Belgium,2020-02-25,1,0,1
Belgium,2020-02-26,1,0,1
Belgium,2020-02-27,1,0,1
Belgium,2020-02-28,1,0,1
Belgium,2020-02-29,1,0,1
Belgium,2020-03-01,2,0,1
Belgium,2020-03-02,8,0,1
Belgium,2020-03-03,13,0,1
Belgium,2020-03-04,23,0,1
Belgium,2020-03-05,50,0,1
Belgium,2020-03-06,109,0,1
Belgium,2020-03-07,169,0,1
Belgium,2020-03-08,200,0,1
Belgium,2020-03-09,239,0,1
Belgium,2020-03-10,267,0,1
Belgium,2020-03-11,314,3,1
Belgium,2020-03-12,314,3,1
Belgium,2020-03-13,559,3,1
Belgium,2020-03-14,689,4,1
Slovenia,2020-03-05,2,0,0
Slovenia,2020-03-06,7,0,0
Slovenia,2020-03-07,7,0,0
Slovenia,2020-03-08,16,0,0
Slovenia,2020-03-09,16,0,0
Slovenia,2020-03-10,31,0,0
Slovenia,2020-03-11,57,0,0
Slovenia,2020-03-12,89,0,0
Slovenia,2020-03-13,141,0,0
Slovenia,2020-03-14,181,1,0
Iran,2020-02-19,2,2,0
Iran,2020-02-20,5,2,0
Iran,2020-02-21,18,4,0
Iran,2020-02-22,28,5,0
Iran,2020-02-23,43,8,0
Iran,2020-02-24,61,12,0
Iran,2020-02-25,95,16,0
Iran,2020-02-26,139,19,49
Iran,2020-02-27,245,26,49
Iran,2020-02-28,388,34,73
Iran,2020-02-29,593,43,123
Iran,2020-03-01,978,54,175
Iran,2020-03-02,1501,66,291
Iran,2020-03-03,2336,77,291
Iran,2020-03-04,2922,92,552
Iran,2020-03-05,3513,107,739
Iran,2020-03-06,4747,124,913
Iran,2020-03-07,5823,145,1669
Iran,2020-03-08,6566,194,2134
Iran,2020-03-09,7161,237,2394
Iran,2020-03-10,8042,291,2731
Iran,2020-03-11,9000,354,2959
Iran,2020-03-12,10075,429,2959
Iran,2020-03-13,11364,514,2959
Iran,2020-03-14,12729,611,2959
Serbia,2020-03-06,1,0,0
Serbia,2020-03-07,1,0,0
Serbia,2020-03-08,1,0,0
Serbia,2020-03-09,1,0,0
Serbia,2020-03-10,5,0,0
Serbia,2020-03-11,12,0,0
Serbia,2020-03-12,19,0,0
Serbia,2020-03-13,35,0,0
Serbia,2020-03-14,46,0,0
Slovakia,2020-03-06,1,0,0
Slovakia,2020-03-07,1,0,0
Slovakia,2020-03-08,3,0,0
Slovakia,2020-03-09,3,0,0
Slovakia,2020-03-10,7,0,0
Slovakia,2020-03-11,10,0,0
Slovakia,2020-03-12,16,0,0
Slovakia,2020-03-13,32,0,0
Slovakia,2020-03-14,44,0,0
United Kingdom,2020-03-10,1,0,0
United Kingdom,2020-03-11,2,0,0
United Kingdom,2020-03-12,2,0,0
United Kingdom,2020-03-13,2,0,0
United Kingdom,2020-03-14,2,0,0
Albania,2020-03-09,2,0,0
Albania,2020-03-10,10,0,0
Albania,2020-03-11,12,1,0
Albania,2020-03-12,23,1,0
Albania,2020-03-13,33,1,0
Albania,2020-03-14,38,1,0
Finland,2020-01-29,1,0,0
Finland,2020-01-30,1,0,0
Finland,2020-01-31,1,0,0
Finland,2020-02-01,1,0,0
Finland,2020-02-02,1,0,0
Finland,2020-02-03,1,0,0
Finland,2020-02-04,1,0,0
Finland,2020-02-05,1,0,0
Finland,2020-02-06,1,0,0
Finland,2020-02-07,1,0,0
Finland,2020-02-08,1,0,0
Finland,2020-02-09,1,0,0
Finland,2020-02-10,1,0,0
Finland,2020-02-11,1,0,0
Finland,2020-02-12,1,0,1
Finland,2020-02-13,1,0,1
Finland,2020-02-14,1,0,1
Finland,2020-02-15,1,0,1
Finland,2020-02-16,1,0,1
Finland,2020-02-17,1,0,1
Finland,2020-02-18,1,0,1
Finland,2020-02-19,1,0,1
Finland,2020-02-20,1,0,1
Finland,2020-02-21,1,0,1
Finland,2020-02-22,1,0,1
Finland,2020-02-23,1,0,1
Finland,2020-02-24,1,0,1
Finland,2020-02-25,1,0,1
Finland,2020-02-26,2,0,1
Finland,2020-02-27,2,0,1
Finland,2020-02-28,2,0,1
Finland,2020-02-29,3,0,1
Finland,2020-03-01,6,0,1
Finland,2020-03-02,6,0,1
Finland,2020-03-03,6,0,1
Finland,2020-03-04,6,0,1
Finland,2020-03-05,12,0,1
Finland,2020-03-06,15,0,1
Finland,2020-03-07,15,0,1
Finland,2020-03-08,23,0,1
Finland,2020-03-09,30,0,1
Finland,2020-03-10,40,0,1
Finland,2020-03-11,59,0,1
Finland,2020-03-12,59,0,1
Finland,2020-03-13,155,0,1
Finland,2020-03-14,225,0,1
Sweden,2020-01-31,1,0,0
Sweden,2020-02-01,1,0,0
Sweden,2020-02-02,1,0,0
Sweden,2020-02-03,1,0,0
Sweden,2020-02-04,1,0,0
Sweden,2020-02-05,1,0,0
Sweden,2020-02-06,1,0,0
Sweden,2020-02-07,1,0,0
Sweden,2020-02-08,1,0,0
Sweden,2020-02-09,1,0,0
Sweden,2020-02-10,1,0,0
Sweden,2020-02-11,1,0,0
Sweden,2020-02-12,1,0,0
Sweden,2020-02-13,1,0,0
Sweden,2020-02-14,1,0,0
Sweden,2020-02-15,1,0,0
Sweden,2020-02-16,1,0,0
Sweden,2020-02-17,1,0,0
Sweden,2020-02-18,1,0,0
Sweden,2020-02-19,1,0,0
Sweden,2020-02-20,1,0,0
Sweden,2020-02-21,1,0,0
Sweden,2020-02-22,1,0,0
Sweden,2020-02-23,1,0,0
Sweden,2020-02-24,1,0,0
Sweden,2020-02-25,1,0,0
Sweden,2020-02-26,2,0,0
Sweden,2020-02-27,7,0,0
Sweden,2020-02-28,7,0,0
Sweden,2020-02-29,12,0,0
Sweden,2020-03-01,14,0,0
Sweden,2020-03-02,15,0,0
Sweden,2020-03-03,21,0,0
Sweden,2020-03-04,35,0,0
Sweden,2020-03-05,94,0,0
Sweden,2020-03-06,101,0,0
Sweden,2020-03-07,161,0,0
Sweden,2020-03-08,203,0,0
Sweden,2020-03-09,248,0,1
Sweden,2020-03-10,355,0,1
Sweden,2020-03-11,500,1,1
Sweden,2020-03-12,599,1,1
Sweden,2020-03-13,814,1,1
Sweden,2020-03-14,961,2,1
Brazil,2020-02-26,1,0,0
Brazil,2020-02-27,1,0,0
Brazil,2020-02-28,1,0,0
Brazil,2020-02-29,2,0,0
Brazil,2020-03-01,2,0,0
Brazil,2020-03-02,2,0,0
Brazil,2020-03-03,2,0,0
Brazil,2020-03-04,4,0,0
Brazil,2020-03-05,4,0,0
Brazil,2020-03-06,13,0,0
Brazil,2020-03-07,13,0,0
Brazil,2020-03-08,20,0,0
Brazil,2020-03-09,25,0,0
Brazil,2020-03-10,31,0,0
Brazil,2020-03-11,38,0,0
Brazil,2020-03-12,52,0,0
Brazil,2020-03-13,151,0,0
Brazil,2020-03-14,151,0,0
Austria,2020-02-25,2,0,0
Austria,2020-02-26,2,0,0
Austria,2020-02-27,3,0,0
Austria,2020-02-28,3,0,0
Austria,2020-02-29,9,0,0
Austria,2020-03-01,14,0,0
Austria,2020-03-02,18,0,0
Austria,2020-03-03,21,0,0
Austria,2020-03-04,29,0,0
Austria,2020-03-05,41,0,0
Austria,2020-03-06,55,0,0
Austria,2020-03-07,79,0,0
Austria,2020-03-08,104,0,0
Austria,2020-03-09,131,0,2
Austria,2020-03-10,182,0,4
Austria,2020-03-11,246,0,4
Austria,2020-03-12,302,1,4
Austria,2020-03-13,504,1,6
Austria,2020-03-14,655,1,6
Singapore,2020-01-23,1,0,0
Singapore,2020-01-24,3,0,0
Singapore,2020-01-25,3,0,0
Singapore,2020-01-26,4,0,0
Singapore,2020-01-27,5,0,0
Singapore,2020-01-28,7,0,0
Singapore,2020-01-29,7,0,0
Singapore,2020-01-30,10,0,0
Singapore,2020-01-31,13,0,0
Singapore,2020-02-01,16,0,0
Singapore,2020-02-02,18,0,0
Singapore,2020-02-03,18,0,0
Singapore,2020-02-04,24,0,0
Singapore,2020-02-05,28,0,0
Singapore,2020-02-06,28,0,0
Singapore,2020-02-07,30,0,0
Singapore,2020-02-08,33,0,2
Singapore,2020-02-09,40,0,2
Singapore,2020-02-10,45,0,2
Singapore,2020-02-11,47,0,9
Singapore,2020-02-12,50,0,15
Singapore,2020-02-13,58,0,15
Singapore,2020-02-14,67,0,17
Singapore,2020-02-15,72,0,18
Singapore,2020-02-16,75,0,18
Singapore,2020-02-17,77,0,24
Singapore,2020-02-18,81,0,29
Singapore,2020-02-19,84,0,34
Singapore,2020-02-20,84,0,34
Singapore,2020-02-21,85,0,37
Singapore,2020-02-22,85,0,37
Singapore,2020-02-23,89,0,51
Singapore,2020-02-24,89,0,51
Singapore,2020-02-25,91,0,53
Singapore,2020-02-26,93,0,62
Singapore,2020-02-27,93,0,62
Singapore,2020-02-28,93,0,62
Singapore,2020-02-29,102,0,72
Singapore,2020-03-01,106,0,72
Singapore,2020-03-02,108,0,78
Singapore,2020-03-03,110,0,78
Singapore,2020-03-04,110,0,78
Singapore,2020-03-05,117,0,78
Singapore,2020-03-06,130,0,78
Singapore,2020-03-07,138,0,78
Singapore,2020-03-08,150,0,78
Singapore,2020-03-09,150,0,78
Singapore,2020-03-10,160,0,78
Singapore,2020-03-11,178,0,96
Singapore,2020-03-12,178,0,96
Singapore,2020-03-13,200,0,97
Singapore,2020-03-14,212,0,105
Italy,2020-01-31,2,0,0
Italy,2020-02-01,2,0,0
Italy,2020-02-02,2,0,0
Italy,2020-02-03,2,0,0
Italy,2020-02-04,2,0,0
Italy,2020-02-05,2,0,0
Italy,2020-02-06,2,0,0
Italy,2020-02-07,3,0,0
Italy,2020-02-08,3,0,0
Italy,2020-02-09,3,0,0
Italy,2020-02-10,3,0,0
Italy,2020-02-11,3,0,0
Italy,2020-02-12,3,0,0
Italy,2020-02-13,3,0,0
Italy,2020-02-14,3,0,0
Italy,2020-02-15,3,0,0
Italy,2020-02-16,3,0,0
Italy,2020-02-17,3,0,0
Italy,2020-02-18,3,0,0
Italy,2020-02-19,3,0,0
Italy,2020-02-20,3,0,0
Italy,2020-02-21,20,1,0
Italy,2020-02-22,62,2,1
Italy,2020-02-23,155,3,2
Italy,2020-02-24,229,7,1
Italy,2020-02-25,322,10,1
Italy,2020-02-26,453,12,3
Italy,2020-02-27,655,17,45
Italy,2020-02-28,888,21,46
Italy,2020-02-29,1128,29,46
Italy,2020-03-01,1694,34,83
Italy,2020-03-02,2036,52,149
Italy,2020-03-03,2502,79,160
Italy,2020-03-04,3089,107,276
Italy,2020-03-05,3858,148,414
Italy,2020-03-06,4636,197,523
Italy,2020-03-07,5883,233,589
Italy,2020-03-08,7375,366,622
Italy,2020-03-09,9172,463,724
Italy,2020-03-10,10149,631,724
Italy,2020-03-11,12462,827,1045
Italy,2020-03-12,12462,827,1045
Italy,2020-03-13,17660,1266,1439
Italy,2020-03-14,21157,1441,1966
Norway,2020-02-26,1,0,0
Norway,2020-02-27,1,0,0
Norway,2020-02-28,6,0,0
Norway,2020-02-29,15,0,0
Norway,2020-03-01,19,0,0
Norway,2020-03-02,25,0,0
Norway,2020-03-03,32,0,0
Norway,2020-03-04,56,0,0
Norway,2020-03-05,87,0,0
Norway,2020-03-06,108,0,0
Norway,2020-03-07,147,0,0
Norway,2020-03-08,176,0,0
Norway,2020-03-09,205,0,1
Norway,2020-03-10,400,0,1
Norway,2020-03-11,598,0,1
Norway,2020-03-12,702,0,1
Norway,2020-03-13,996,0,1
Norway,2020-03-14,1090,3,1
France,2020-01-24,2,0,0
France,2020-01-25,3,0,0
France,2020-01-26,3,0,0
France,2020-01-27,3,0,0
France,2020-01-28,4,0,0
France,2020-01-29,5,0,0
France,2020-01-30,5,0,0
France,2020-01-31,5,0,0
France,2020-02-01,6,0,0
France,2020-02-02,6,0,0
France,2020-02-03,6,0,0
France,2020-02-04,6,0,0
France,2020-02-05,6,0,0
France,2020-02-06,6,0,0
France,2020-02-07,6,0,0
France,2020-02-08,11,0,0
France,2020-02-09,11,0,0
France,2020-02-10,11,0,0
France,2020-02-11,11,0,0
France,2020-02-12,11,0,2
France,2020-02-13,11,0,2
France,2020-02-14,11,0,2
France,2020-02-15,12,1,4
France,2020-02-16,12,1,4
France,2020-02-17,12,1,4
France,2020-02-18,12,1,4
France,2020-02-19,12,1,4
France,2020-02-20,12,1,4
France,2020-02-21,12,1,4
France,2020-02-22,12,1,4
France,2020-02-23,12,1,4
France,2020-02-24,12,1,4
France,2020-02-25,14,1,11
France,2020-02-26,18,2,11
France,2020-02-27,38,2,11
France,2020-02-28,57,2,11
France,2020-02-29,100,2,12
France,2020-03-01,130,2,12
France,2020-03-02,191,3,12
France,2020-03-03,204,4,12
France,2020-03-04,285,4,12
France,2020-03-05,377,6,12
France,2020-03-06,653,9,12
France,2020-03-07,949,11,12
France,2020-03-08,1126,19,12
France,2020-03-09,1209,19,12
France,2020-03-10,1784,33,12
France,2020-03-11,2281,48,12
France,2020-03-12,2281,48,12
France,2020-03-13,3661,79,12
France,2020-03-14,4469,91,12
Netherlands,2020-02-27,1,0,0
Netherlands,2020-02-28,1,0,0
Netherlands,2020-02-29,6,0,0
Netherlands,2020-03-01,10,0,0
Netherlands,2020-03-02,18,0,0
Netherlands,2020-03-03,24,0,0
Netherlands,2020-03-04,38,0,0
Netherlands,2020-03-05,82,0,0
Netherlands,2020-03-06,128,1,0
Netherlands,2020-03-07,188,1,0
Netherlands,2020-03-08,265,3,0
Netherlands,2020-03-09,321,3,0
Netherlands,2020-03-10,382,4,0
Netherlands,2020-03-11,503,5,0
Netherlands,2020-03-12,503,5,0
Netherlands,2020-03-13,804,10,0
Netherlands,2020-03-14,959,12,2
Switzerland,2020-02-25,1,0,0
Switzerland,2020-02-26,1,0,0
Switzerland,2020-02-27,8,0,0
Switzerland,2020-02-28,8,0,0
Switzerland,2020-02-29,18,0,0
Switzerland,2020-03-01,27,0,0
Switzerland,2020-03-02,42,0,0
Switzerland,2020-03-03,56,0,2
Switzerland,2020-03-04,90,0,3
Switzerland,2020-03-05,114,1,3
Switzerland,2020-03-06,214,1,3
Switzerland,2020-03-07,268,1,3
Switzerland,2020-03-08,337,2,3
Switzerland,2020-03-09,374,2,3
Switzerland,2020-03-10,491,3,3
Switzerland,2020-03-11,652,4,4
Switzerland,2020-03-12,652,4,4
Switzerland,2020-03-13,1139,11,4
Switzerland,2020-03-14,1359,13,4
Germany,2020-01-27,1,0,0
Germany,2020-01-28,4,0,0
Germany,2020-01-29,4,0,0
Germany,2020-01-30,4,0,0
Germany,2020-01-31,5,0,0
Germany,2020-02-01,8,0,0
Germany,2020-02-02,10,0,0
Germany,2020-02-03,12,0,0
Germany,2020-02-04,12,0,0
Germany,2020-02-05,12,0,0
Germany,2020-02-06,12,0,0
Germany,2020-02-07,13,0,0
Germany,2020-02-08,13,0,0
Germany,2020-02-09,14,0,0
Germany,2020-02-10,14,0,0
Germany,2020-02-11,16,0,0
Germany,2020-02-12,16,0,0
Germany,2020-02-13,16,0,1
Germany,2020-02-14,16,0,1
Germany,2020-02-15,16,0,1
Germany,2020-02-16,16,0,1
Germany,2020-02-17,16,0,1
Germany,2020-02-18,16,0,12
Germany,2020-02-19,16,0,12
Germany,2020-02-20,16,0,12
Germany,2020-02-21,16,0,14
Germany,2020-02-22,16,0,14
Germany,2020-02-23,16,0,14
Germany,2020-02-24,16,0,14
Germany,2020-02-25,17,0,14
Germany,2020-02-26,27,0,15
Germany,2020-02-27,46,0,16
Germany,2020-02-28,48,0,16
Germany,2020-02-29,79,0,16
Germany,2020-03-01,130,0,16
Germany,2020-03-02,159,0,16
Germany,2020-03-03,196,0,16
Germany,2020-03-04,262,0,16
Germany,2020-03-05,482,0,16
Germany,2020-03-06,670,0,17
Germany,2020-03-07,799,0,18
Germany,2020-03-08,1040,0,18
Germany,2020-03-09,1176,2,18
Germany,2020-03-10,1457,2,18
Germany,2020-03-11,1908,3,25
Germany,2020-03-12,2078,3,25
Germany,2020-03-13,3675,7,46
Germany,2020-03-14,4585,9,46
Hungary,2020-03-04,2,0,0
Hungary,2020-03-05,2,0,0
Hungary,2020-03-06,2,0,0
Hungary,2020-03-07,4,0,0
Hungary,2020-03-08,7,0,0
Hungary,2020-03-09,9,0,0
Hungary,2020-03-10,9,0,0
Hungary,2020-03-11,13,0,0
Hungary,2020-03-12,13,0,0
Hungary,2020-03-13,19,0,0
Hungary,2020-03-14,30,0,1
