zemlja,country,before,now
Albanija,Albania,1,42
Austrija,Austria,104,860
Belgija,Belgium,200,886
Bosna i Hercegovina,Bosnia and Herzegovina,3,24
Brazil,Brazil,20,162
Crna Gora,Montenegro,0,0
Danska,Denmark,35,864
Finska,Finland,23,244
Francuska,France,1126,4499
Grčka,Greece,73,331
Hrvatska,Croatia,12,49
Indonezija,Indonesia,6,117
Iran,Iran,6566,13938
Italija,Italy,7375,24747
Japan,Japan,502,839
Južna Koreja,South Korea,7314,8162
Kina,China,67707,67794
Malazija,Malaysia,99,428
Mađarska,Hungary,7,32
Nizozemska,Netherlands,265,1135
Njemačka,Germany,1040,5795
Norveška,Norway,176,1221
Poljska,Poland,11,119
Rusija,Russia,17,63
Singapur,Singapore,150,226
Slovačka,Slovakia,3,54
Slovenija,Slovenia,16,219
Srbija,Serbia,1,48
Tajland,Thailand,50,114
Tajvan,Taiwan,45,59
Ujedinjeno Kraljevstvo,United Kingdom,273,1140
Češka,Czechia,31,253
Španjolska,Spain,673,7798
Švedska,Sweden,203,1022
Švicarska,Switzerland,337,2200