ccode,date,dayNum,population,medAge,hdi,lifeExp,gdppc,age65p,deathRate,fullVacPct,dosesPerPerson,deathRate2m
FRA,2021-12-31,189,67422000,42,0.901,82.66,38605.671,19.718,1748.984,70.94,1.66,87.29
ESP,2021-12-31,189,46745211,45.5,0.904,83.56,34272.36,19.436,1871.935,80.48,1.67,40.67
ITA,2021-12-31,189,60367471,47.9,0.892,83.51,35220.084,23.021,2192.141,72.98,1.67,83.95
BEL,2021-12-31,189,11632334,41.8,0.931,81.63,42658.576,18.571,2244.176,74.89,1.69,191.36
NLD,2021-12-31,189,17173094,43.2,0.944,82.28,48472.545,18.779,1082.624,70.05,1.51,140.16
DNK,2021-12-31,189,5813302,42.3,0.94,80.9,46682.515,19.677,468.753,77.31,1.84,93.23
IRL,2021-12-31,189,4982904,38.7,0.955,82.3,67335.293,13.928,1102.169,76.34,1.74,84.29
DEU,2021-12-31,189,83900471,46.6,0.947,81.33,45229.245,21.453,1150.077,68.58,1.57,186.16
AUT,2021-12-31,189,9043072,44.4,0.922,81.54,45436.686,19.202,1266.273,67.37,1.56,252.35
SWE,2021-12-31,189,10160159,41,0.945,82.8,46949.283,19.985,1481.965,70.31,1.59,24.9
FIN,2021-12-31,189,5548361,42.8,0.938,81.91,40585.721,21.228,214.117,72.28,1.61,67.77
LUX,2021-12-31,189,634814,39.7,0.916,82.25,94277.965,14.312,1337.4,36.83,1.51,103.97
PRT,2021-12-31,189,10167923,46.2,0.864,82.05,27936.896,21.502,1789.254,88.47,1.75,74.94
HRV,2021-12-31,189,4081657,44,0.851,78.49,22669.797,19.724,2302.986,46.18,1.03,768.81
HUN,2021-12-31,189,9634162,43.4,0.854,76.88,26777.561,18.577,3236.815,60.88,1.44,830.59
POL,2021-12-31,189,37797000,41.8,0.88,78.73,27216.445,16.763,2051.671,54.36,1.14,516.1
CZE,2021-12-31,189,10724553,43.3,0.9,79.38,32605.906,19.027,2884.782,59.67,1.31,484.03
SVK,2021-12-31,189,5460726,41.2,0.86,77.54,30155.152,15.07,2411.035,43.53,1.02,635.26
SVN,2021-12-31,189,2078723,44.5,0.917,81.32,31400.84,19.062,2311.996,55.64,1.21,376.67
ROU,2021-12-31,189,19127772,43,0.828,76.05,23313.199,17.85,2618.549,37.39,0.76,453.01
BGR,2021-12-31,189,6896655,44.7,0.816,75.05,18563.307,20.801,3616.246,25.19,0.48,872.16
LVA,2021-12-31,189,1866934,43.9,0.866,75.29,25063.846,19.754,1844.736,62.07,1.23,603.13
LTU,2021-12-31,189,2689862,43.5,0.882,75.93,29524.265,19.002,2248.071,66.33,1.41,498.17
EST,2021-12-31,189,1325188,42.7,0.892,78.74,29481.252,19.452,1193.038,59.76,1.12,264.87
GRC,2021-12-31,189,10370747,45.3,0.888,82.24,24574.382,20.396,1562.086,64.7,1.45,442.59
CYP,2021-12-31,189,896005,37.3,0.887,80.98,32415.132,13.416,642.854,65.84,1.54,69.2
MLT,2021-12-31,189,516100,42.4,0.895,82.53,36513.323,19.426,895.175,83.84,1.9,27.13