arena,year,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
OCE,2020,3454,3355,3267,3053,3042,3102,3074,2943,2617,2604,2387,2294,2032,1712,1444,992,659,398,187,49,5
OCE,2030,3536,3551,3578,3499,3419,3202,3178,3211,3138,2952,2576,2520,2265,2118,1795,1412,1063,576,243,66,9
OCE,2040,3690,3666,3672,3706,3745,3664,3569,3323,3250,3226,3095,2862,2448,2333,2012,1774,1355,865,428,106,13
OCE,2050,3900,3869,3829,3823,3842,3874,3898,3786,3642,3338,3207,3134,2957,2659,2178,1969,1546,1132,583,174,25
OCE,2060,3999,4030,4042,4028,4001,3994,3997,3999,3972,3801,3597,3244,3062,2924,2661,2264,1692,1300,707,250,39
OCE,2070,4046,4086,4142,4190,4215,4201,4159,4121,4075,4016,3929,3704,3445,3023,2750,2515,2126,1546,819,314,53
OCE,2080,4119,4148,4190,4248,4317,4365,4376,4330,4240,4142,4036,3923,3779,3477,3119,2598,2204,1773,1102,410,69
OCE,2090,4145,4211,4265,4311,4367,4425,4480,4497,4459,4355,4205,4054,3891,3700,3454,3039,2545,1862,1194,514,102
OCE,2100,4135,4213,4291,4374,4443,4490,4532,4560,4567,4527,4430,4274,4069,3840,3576,3269,2878,2261,1461,590,126
SSA,2020,170823,153576,135944,117485,100167,85020,72510,60906,49462,39829,31464,24999,19290,14093,9510,5609,2604,873,171,19,1
SSA,2030,199403,181444,165511,150384,132554,113542,96153,81063,68482,56839,45401,35619,26952,19845,13450,7915,3749,1270,265,34,3
SSA,2040,225955,210234,194627,178513,162251,146390,128337,109309,91825,76580,63666,51527,39494,28844,19305,11570,5611,1953,431,57,5
SSA,2050,246866,234472,221638,207476,191444,174535,157914,141811,123462,104138,86208,70214,56152,42495,29002,17458,8507,3093,726,102,9
SSA,2060,262827,253069,243042,231917,218553,203514,187064,169865,152748,135950,116745,96336,76973,58911,42303,26727,13513,5076,1236,186,18
SSA,2070,274299,267162,259469,250735,240105,228039,214181,198768,181718,163677,145303,126679,105248,82015,59397,38493,20942,8503,2217,353,35
SSA,2080,280549,276286,271361,265040,256696,247006,235846,223340,208770,192324,173756,153551,132199,109253,82839,55401,31169,13436,3931,695,70
SSA,2090,281644,280018,277993,274365,268761,261490,252612,242471,230549,216870,200512,181495,159438,134148,106092,76025,45556,20934,6695,1314,143
SSA,2100,279338,279571,279437,278294,275581,271026,264900,257190,247553,236191,222332,205779,185431,160456,130399,96246,61155,30824,10866,2396,295
NAWA,2020,56062,54728,48294,43672,42755,43849,43282,39546,34382,28770,24005,20098,15856,12039,8058,5219,3246,1493,427,72,6
NAWA,2030,55224,55645,56137,54289,48146,44843,44251,43658,41390,37455,32457,26883,22045,17631,12893,8577,4507,1990,689,146,15
NAWA,2040,57449,55700,54850,55283,56154,55235,49199,44418,42317,41350,39199,35263,30045,23963,18330,12995,7730,3634,1116,231,30
NAWA,2050,58949,58434,57145,55389,54705,55809,56821,54799,47573,42461,40390,39215,36545,31796,25474,18250,11582,5979,2156,501,59
NAWA,2060,57859,58358,58692,58151,57023,55890,55350,55506,55398,52961,45739,40456,37866,35661,31445,24859,16835,9052,3615,950,136
NAWA,2070,56858,57180,57642,58103,58599,58684,57704,55656,54059,53821,53568,50780,43150,37051,32932,28379,21484,13059,5775,1658,273
NAWA,2080,55863,56331,56674,56950,57581,58675,59319,58487,56454,54040,52358,51792,50867,46959,38021,29982,23091,15574,7916,2659,510
NAWA,2090,53987,54961,55706,56123,56640,57559,58345,58527,58123,56929,54829,52157,49923,48272,45443,38817,27465,17135,9079,3500,815
NAWA,2100,51888,52816,53854,54772,55698,56766,57446,57461,57213,57054,56606,55166,52548,48934,45029,40627,33844,23219,11535,4240,1101
CSA,2020,185077,182907,187490,184163,178533,171785,163854,149206,128920,111822,97194,83084,67031,50793,33022,21088,11942,5014,1418,298,56
CSA,2030,179326,181632,182872,180875,184276,180113,174541,167863,159596,144208,122684,103639,86498,69398,50502,32454,16460,7129,2259,525,110
CSA,2040,169329,173933,177577,179829,179994,177299,180637,176375,170331,162685,152650,134781,110529,88157,67003,46165,26470,11679,3385,805,178
CSA,2050,159090,163096,167873,172302,174903,176489,176674,173932,176738,171485,163606,153061,139064,116696,87859,60919,37117,17909,5926,1402,266
CSA,2060,149749,154053,157846,161603,165383,169189,171780,173254,173045,169495,170463,162349,150354,134305,113100,83651,51248,25380,9211,2397,464
CSA,2070,139235,144154,148661,152667,155505,158704,162512,166235,168470,169205,167541,161496,158172,144384,124554,99027,69044,37361,13975,3773,778
CSA,2080,129632,133636,138268,142857,146441,149941,152862,156056,159611,162721,163687,162149,156886,145631,133797,109639,79064,46719,20498,6173,1269
CSA,2090,121302,124835,128755,132410,136153,140282,143985,147540,150320,153067,155590,156752,154514,148057,135315,113935,88721,54846,25225,8416,2027
CSA,2100,113041,116744,120492,123664,126724,129962,133860,138092,141737,144977,146968,148167,147984,144784,135618,118990,93433,60506,30770,10842,2764
ESEA,2020,150089,154893,150574,149140,155243,166005,193773,166530,159118,182023,179980,148159,119562,107097,70406,44365,28373,14557,5313,1295,203
ESEA,2030,134029,140330,149336,154041,149120,147103,153094,163782,191069,163317,154776,174758,168575,132646,99027,77854,42458,20077,8404,2432,435
ESEA,2040,127193,129696,133456,139639,148079,152288,147311,145288,151001,160964,186633,157287,145826,158745,143135,100292,62485,37263,13846,3700,764
ESEA,2050,121709,124748,126722,129094,132334,138071,146425,150614,145493,142980,147628,155644,177386,144372,126435,124657,95206,51489,21624,7336,1368
ESEA,2060,113622,117490,121308,124207,125691,127664,130869,136639,144821,148529,142615,138671,140806,144397,156909,116760,88506,68743,35674,11140,2398
ESEA,2070,107027,109843,113275,116999,120347,122877,124358,126411,129534,134939,142325,144659,136829,129699,126147,119893,114446,68170,36281,16498,4262
ESEA,2080,101631,104152,106720,109391,112376,115758,119120,121757,123211,125001,127524,131825,137316,136564,124242,109823,94863,73535,49993,17858,5224
ESEA,2090,95575,98545,101353,103729,105870,108224,111244,114755,118124,120561,121540,122460,123535,125329,126241,118035,96185,70079,44032,20884,7437
ESEA,2100,90007,92495,95321,98147,100541,102620,104814,107322,110386,113755,116732,118447,118256,117194,114716,110175,100551,78716,47348,21473,7784
LAC,2020,51689,52197,52365,53546,54037,53312,50967,48479,44261,39864,36212,32150,26227,20888,15033,10347,6717,3616,1553,425,69
LAC,2030,48404,50049,51402,51824,51658,52531,52979,52211,49785,47098,42571,37729,33429,28532,21899,15872,9797,5249,2346,731,146
LAC,2040,44923,46524,48163,49716,50757,50911,50683,51529,51884,50913,48141,44910,39728,34029,28577,22402,14924,8554,3677,1149,245
LAC,2050,42139,43329,44728,46242,47610,48934,49918,50063,49773,50422,50407,48876,45361,41072,34645,27476,20265,12740,5987,2025,410
LAC,2060,39360,40683,41974,43081,44244,45569,46897,48215,49142,49135,48548,48676,47892,45256,40273,34014,25450,16404,8673,3268,731
LAC,2070,36682,37925,39216,40457,41536,42486,43628,44960,46250,47437,48100,47665,46446,45533,43170,38302,30518,21207,11517,4507,1170
LAC,2080,34395,35432,36554,37717,38813,39918,40991,41963,43087,44321,45395,46212,46307,44984,42391,39238,33600,24803,14550,6241,1698
LAC,2090,32321,33298,34279,35236,36178,37222,38323,39460,40530,41433,42390,43325,43924,43962,42760,39391,33752,26285,16814,7779,2381
LAC,2100,30355,31262,32213,33113,33922,34775,35730,36816,37927,39016,39958,40627,41203,41488,40950,39077,34813,27233,17655,8789,3060
E,2020,39069,40750,40249,37895,38978,45039,52382,52930,52259,52006,51517,52751,48900,43042,35048,25200,21108,11802,5303,1275,124
E,2030,34683,36765,39346,41172,41006,38910,39958,45613,52259,52231,50945,49844,48291,47677,42030,34133,24261,13310,6775,1807,276
E,2040,34136,34021,34992,37227,40167,42259,42069,39694,40284,45302,51097,50264,48011,45700,42716,39212,30127,18993,8814,2308,406
E,2050,34481,34775,34443,34480,35807,38309,41212,42991,42377,39609,39739,43935,48427,46440,42899,38615,32362,23485,11825,3671,594
E,2060,32440,33740,34788,35236,35264,35578,36896,39109,41555,42879,41860,38675,38185,41160,43740,39838,33271,24510,14032,5108,918
E,2070,31349,31778,32752,34206,35617,36346,36377,36441,37357,39143,41137,41949,40395,36679,35314,36201,34715,26280,15362,5933,1248
E,2080,31412,31577,31664,32250,33592,35332,36747,37229,36886,36585,37138,38479,39879,39976,37681,33004,29373,25197,17038,6987,1551
E,2090,30503,31239,31729,32052,32511,33392,34747,36247,37285,37409,36751,36114,36237,36970,37503,36313,31967,24196,15825,7419,1948
E,2100,29528,30064,30822,31716,32581,33202,33684,34340,35335,36480,37202,37010,36007,34949,34462,34091,32390,27380,18256,7945,2106
NAM,2020,21675,22029,23080,23238,24630,26576,25686,24275,22764,22444,23010,24311,23240,19976,16153,10957,7278,4431,2304,696,105
NAM,2030,22833,22491,21923,22788,24818,25304,26241,27563,26178,24372,22489,21716,21688,22188,20280,16205,11523,6205,2751,857,175
NAM,2040,22965,23102,23116,23323,23849,25101,26637,26467,26857,27724,25951,23744,21440,20152,19380,18652,15264,9939,4886,1378,239
NAM,2050,23038,23114,23259,23953,25084,25694,25738,26320,27302,26713,26705,27104,24891,22266,19480,17363,15136,12104,7021,2444,460
NAM,2060,23706,23479,23336,23970,25240,26345,26989,26938,26454,26620,27213,26230,25767,25623,22895,19566,15700,11824,7470,3253,748
NAM,2070,24139,24160,24008,24338,25324,26376,27166,27608,27723,27272,26442,26230,26384,24977,23951,22869,18913,13873,8244,3455,908
NAM,2080,24348,24375,24442,25020,26000,26755,27271,27666,27928,27970,27740,26942,25754,25136,24742,22598,20223,16788,10485,4363,1081
NAM,2090,24873,24764,24653,25238,26439,27447,27963,28068,28062,28063,27991,27697,27112,25957,24353,23027,21302,17130,11801,5669,1476
NAM,2100,25321,25304,25180,25628,26655,27676,28421,28781,28777,28496,28170,27856,27454,26815,25817,24045,21358,17998,13058,6215,1853
